SKU,poslato_sum,pristiglo_sum,prvi_verifikovan,zadnji_verifikovan
AF-1,282,281.0,2024-06-11,2026-01-16
AF-10,68,68.0,2024-06-11,2025-08-16
AF-2,91,90.0,2024-10-21,2026-01-16
AF-4,160,160.0,2024-06-11,2025-08-16
AF-6,150,150.0,2024-06-11,2025-08-16
AF-613,120,120.0,2024-06-11,2025-08-16
AF-613/K16,20,20.0,2025-01-29,2025-01-29
AF-BRO,15,15.0,2025-08-16,2025-08-16
AF-CRV,38,35.0,2024-06-11,2025-12-01
AF-K16,150,150.0,2024-06-11,2025-08-16
AF-MHG,52,52.0,2024-06-11,2025-08-16
AF-PLAT,100,99.0,2024-10-21,2025-08-16
AF-SMEDPR,70,70.0,2025-08-16,2025-08-16
AF-SMO,60,60.0,2024-06-11,2025-10-29
AF-SMP,120,120.0,2024-06-11,2025-08-16
AF-SRP,60,60.0,2024-10-21,2024-10-21
AR-1B,230,230.0,2025-05-15,2026-01-16
AR-2,185,185.0,2025-01-29,2026-01-16
AR-4,275,275.0,2025-01-29,2026-01-16
AR-6,50,50.0,2025-08-16,2025-08-16
AR-613,115,115.0,2025-01-29,2026-01-16
AR-BAK,40,20.0,2026-01-16,2026-01-21
AR-K16,175,175.0,2025-01-29,2026-01-16
AR-Najpl,35,35.0,2025-05-15,2025-10-29
AR-PLO,116,116.0,2025-01-29,2026-01-16
AR-SMO,90,90.0,2025-08-16,2026-01-16
AR-SMPLV,95,95.0,2025-05-15,2026-01-16
AR-SRP,50,50.0,2025-08-16,2025-08-16
BD-10,50,50.0,2025-10-29,2025-10-29
BD-1B,100,100.0,2025-10-29,2025-10-29
BD-2,50,47.0,2025-10-29,2025-10-29
BD-4,70,63.0,2025-10-29,2025-10-29
BD-6,70,77.0,2025-10-29,2025-10-29
BD-613,50,50.0,2025-10-29,2025-10-29
BD-K16,50,50.0,2025-10-29,2025-10-29
BD-PLAT,50,50.0,2025-10-29,2025-10-29
BD-SMEDPR,80,80.0,2025-10-29,2025-10-29
BD-SRP,70,70.0,2025-10-29,2025-10-29
DR-1B,186,185.0,2024-06-11,2026-01-16
DR-4,85,85.0,2024-10-21,2025-08-16
DR-6,50,50.0,2025-05-15,2025-05-15
DR-K16,50,50.0,2025-05-15,2025-05-15
DR-PP,80,80.0,2024-06-11,2026-01-16
DR-SIVPL,46,45.0,2024-06-11,2026-01-16
DR-SMPLV,70,70.0,2024-06-11,2026-01-16
DR-SRP,50,50.0,2025-05-15,2025-05-15
EKS-10,135,115.0,2024-08-28,2025-08-16
EKS-1B,390,390.0,2024-06-11,2026-01-16
EKS-4,303,302.0,2024-06-11,2026-01-16
EKS-6,260,260.0,2024-06-11,2026-01-16
EKS-613,115,80.0,2024-06-11,2025-10-29
EKS-K16,175,175.0,2024-06-11,2025-10-29
EKS-NAT,137,135.0,2024-06-12,2025-01-29
EKS-PLAT,50,50.0,2025-08-16,2025-08-16
EKS-PLO,100,85.0,2024-08-28,2026-01-16
EKS-PRAM,40,25.0,2024-08-28,2025-05-15
EKS-SIVPL,55,45.0,2024-08-28,2026-01-16
EKS-SMPLV,65,65.0,2024-10-21,2026-01-16
EKS-SRP,170,170.0,2024-10-21,2026-01-16
EKS-SSP,60,60.0,2024-06-11,2025-05-15
EKSOPK-10,30,30.0,2026-01-16,2026-01-16
EKSOPK-1B,50,50.0,2025-08-16,2025-08-16
EKSOPK-4,50,50.0,2025-08-16,2025-08-16
EKSOPK-6,90,70.0,2025-08-16,2026-01-21
EKSOPK-613,50,50.0,2025-08-16,2025-08-16
EKSOPK-K16,60,60.0,2025-08-16,2026-01-16
EKSOPK-PLAT,50,50.0,2025-08-16,2025-08-16
EKSOPK-SMEDPR,50,50.0,2025-08-16,2025-08-16
EKSOPK-SRP,80,40.0,2025-08-16,2025-08-29
KRO-1B,165,165.0,2024-10-21,2026-01-16
KRO-2,110,110.0,2024-10-21,2025-08-16
KRO-4,145,145.0,2024-10-21,2026-01-16
KRO-6,126,126.0,2024-10-21,2025-08-16
KRO-613,95,95.0,2024-10-21,2025-08-16
KRO-MHG,47,47.0,2024-10-21,2026-01-16
KRO-PP,135,135.0,2024-10-21,2026-01-16
KRO-SMO,125,125.0,2024-10-21,2026-01-16
KRO-SMPLV,216,205.0,2024-10-21,2026-01-16
KRO-k16,130,130.0,2024-10-21,2025-08-16
KRR-10,50,50.0,2025-08-16,2025-08-16
KRR-1B,120,120.0,2024-10-21,2026-01-16
KRR-2,80,80.0,2024-10-21,2025-08-16
KRR-4,160,160.0,2024-10-21,2026-01-16
KRR-6,80,80.0,2025-05-15,2025-05-15
KRR-MHG,30,30.0,2024-10-21,2025-08-16
KRR-PLAT,50,50.0,2025-08-16,2025-08-16
KRR-SMO,81,80.0,2024-10-21,2025-08-16
KRR-SMPLV,100,100.0,2024-10-21,2026-01-16
KRR-SRP,80,80.0,2025-05-15,2025-08-16
KRR-k16,115,115.0,2024-10-21,2025-08-16
OPK-10,120,120.0,2024-10-21,2026-01-16
OPK-1B,500,493.0,2024-06-11,2026-01-16
OPK-2,161,170.0,2024-10-21,2026-01-16
OPK-4,208,201.0,2024-10-21,2025-12-01
OPK-6,190,190.0,2024-10-21,2026-01-16
OPK-K16,200,200.0,2024-06-11,2025-08-16
OPK-MHG,75,75.0,2024-06-11,2025-08-16
OPK-NTP,159,150.0,2024-06-11,2025-12-01
OPK-PLAT,150,150.0,2024-10-21,2025-08-16
OPK-PLO,40,40.0,2025-05-15,2025-08-16
OPK-SMEDPR,100,100.0,2025-05-15,2025-08-16
OPK-SMO,271,261.0,2024-06-11,2026-01-16
OPK-SMP,150,150.0,2024-06-11,2025-08-16
P001,10,10.0,2024-12-24,2024-12-24
P006,25,25.0,2024-12-24,2024-12-24
P007,15,15.0,2024-12-24,2024-12-24
P012,20,20.0,2024-12-24,2024-12-24
P014,15,15.0,2024-12-24,2024-12-24
P017,12,12.0,2025-05-20,2025-05-20
P029,20,20.0,2024-12-24,2025-11-27
P041,10,10.0,2024-12-24,2024-12-24
P043,20,20.0,2024-12-24,2025-11-27
P061,35,34.0,2024-12-24,2025-11-27
P066,15,15.0,2025-05-20,2025-05-20
P068,5,5.0,2025-11-27,2025-11-27
P069,15,15.0,2024-12-24,2024-12-24
P073,5,5.0,2025-11-27,2025-11-27
P075,15,15.0,2025-05-20,2025-05-20
P078,6,6.0,2025-11-27,2025-11-27
P081,26,26.0,2024-12-24,2025-11-27
P084,28,28.0,2024-12-24,2025-11-27
P091,12,12.0,2025-05-20,2025-05-20
P093,20,20.0,2024-12-24,2024-12-24
P094,15,15.0,2024-12-24,2025-11-27
P095,35,35.0,2024-12-24,2025-11-27
P096,10,10.0,2024-12-24,2024-12-24
P099,6,6.0,2025-11-27,2025-11-27
PR00,5,5.0,2025-05-15,2025-05-15
PR1,12,12.0,2024-12-24,2025-11-27
PR10,7,7.0,2025-05-20,2025-05-20
PR11,13,13.0,2025-05-20,2025-11-27
PR12,7,7.0,2024-12-24,2024-12-24
PR15,22,22.0,2024-12-24,2025-11-27
PR16,5,5.0,2025-11-27,2025-11-27
PR18,15,15.0,2024-12-24,2024-12-24
PR19,7,7.0,2025-05-20,2025-05-20
PR2,15,15.0,2024-12-24,2025-11-27
PR20,5,5.0,2025-11-27,2025-11-27
PR22,10,10.0,2024-12-24,2024-12-24
PR23,22,22.0,2025-05-20,2025-11-27
PR25,10,10.0,2025-05-20,2025-05-20
PR26,10,10.0,2024-12-24,2024-12-24
PR28,6,6.0,2024-12-24,2024-12-24
PR3,12,12.0,2025-05-20,2025-05-20
PR31,17,17.0,2024-12-24,2025-05-20
PR32,10,10.0,2025-05-20,2025-05-20
PR33,20,20.0,2024-12-24,2025-11-27
PR36,15,15.0,2024-12-24,2025-11-27
PR4,30,30.0,2024-12-24,2025-11-27
PR40,8,8.0,2025-05-20,2025-05-20
PR41,9,9.0,2024-12-24,2025-05-20
PR43,30,30.0,2024-12-24,2025-05-20
PR44,5,5.0,2025-05-15,2025-05-15
PR5,4,4.0,2025-11-27,2025-11-27
PR51,15,15.0,2025-05-15,2026-01-16
PR53,10,10.0,2025-05-15,2025-05-15
PR55,10,10.0,2025-05-15,2025-05-15
PR6,25,25.0,2024-12-24,2025-05-20
PR7,8,8.0,2025-05-20,2025-11-27
PR8,21,21.0,2024-12-24,2025-05-20
PR9,10,10.0,2025-05-15,2026-01-16
RM-1,1,1.0,2025-12-01,2025-12-01
RR-10,150,150.0,2024-06-11,2025-10-29
RR-1B,365,365.0,2024-06-11,2026-01-16
RR-2,156,156.0,2024-10-21,2026-01-16
RR-350,84,83.0,2024-06-11,2026-01-16
RR-4,325,325.0,2024-06-11,2026-01-16
RR-6,260,260.0,2024-06-11,2026-01-16
RR-613,150,150.0,2024-06-11,2025-08-16
RR-613/K16,70,70.0,2025-01-29,2025-10-29
RR-8,50,50.0,2025-08-16,2025-08-16
RR-BRO,15,15.0,2025-08-16,2025-08-16
RR-K16,180,180.0,2024-06-11,2025-08-16
RR-KAR,40,40.0,2024-10-21,2025-08-16
RR-MHG,87,87.0,2024-06-11,2025-08-16
RR-PLAT,151,151.0,2024-10-21,2025-08-16
RR-PLO,60,100.0,2025-08-16,2025-08-29
RR-SIVPL,30,30.0,2025-08-16,2026-01-16
RR-SMEDPR,161,161.0,2024-10-21,2025-10-16
RR-SMO,125,125.0,2024-06-11,2025-08-16
RR-SMP,190,193.0,2024-06-11,2026-01-16
RR-SRP,165,162.0,2024-10-21,2026-01-16
TRK-10,45,45.0,2024-06-11,2025-08-16
TRK-1B,106,105.0,2024-06-11,2026-01-16
TRK-2,15,0.0,2024-10-21,2024-10-21
TRK-4,110,110.0,2024-06-11,2026-01-16
TRK-6,101,115.0,2024-06-11,2026-01-16
TRK-613,70,70.0,2024-06-11,2026-01-16
TRK-K16,70,70.0,2024-06-11,2026-01-16
U-10,50,50.0,2024-12-17,2024-12-17
U-1B,291,290.0,2024-12-17,2025-08-16
U-2,80,80.0,2025-08-16,2025-08-16
U-4,210,210.0,2024-12-17,2025-08-16
U-6,160,160.0,2024-12-17,2025-08-16
U-613,100,100.0,2024-12-17,2025-05-15
U-K16,110,110.0,2024-12-17,2025-05-15
U-MHG,50,49.0,2025-08-16,2025-08-16
U-PLAT,100,100.0,2024-12-17,2025-05-15
U-SMEDPR,60,60.0,2025-05-15,2025-05-15
U-SRP,170,170.0,2024-12-17,2025-08-16
